ra,dec,apogee_ID,gaia_ID,parallax,pmra,pmra_err,pmdec,pmdec_err,RV,RV_err,dist,dist_err,jr,jr_err,jphi,jphi_err,jz,jz_err,TEFF,TEFF_err,LOGG,LOGG_err,SNR,FEH,FEH_err,CFE,CFE_err,CIFE,CIFE_err,NFE,NFE_err,OFE,OFE_err,MGFE,MGFE_err,ALFE,ALFE_err,SIFE,SIFE_err,PFE,PFE_err,SFE,SFE_err,KFE,KFE_err,CAFE,CAFE_err,TIFE,TIFE_err,TIIIFE,TIIIFE_err,VFE,VFE_err,CRFE,CRFE_err,MNFE,MNFE_err,COFE,COFE_err,NIFE,NIFE_err
200.597289,29.04734,2M13222334+2902504,1461680591778641536,2.2035356,-9.66807,0.0224698,1.8938222,0.0152978,-22.474874,0.04103319,407.408935546875,58.647677151894400,10.066103004074900,0.045923472902534200,1897.6337387774400,0.7742623328881130,8.124637178241790,0.09571675686368860,6131.5654,151.24681,3.8005667,0.16084358,358.55203,-0.20395985,0.06956074,0.039619565,0.07719797,0.029187799,0.10223436,0.35589164,0.23355918,0.15809229,0.09141232,-0.015034586,0.0887077,0.08086616,0.12311375,0.10636434,0.089043975,-0.037651807,1.0772812,0.027417377,0.09849553,-0.0073081106,0.16284882,-0.013238937,0.11267871,-0.19493806,0.22617836,-0.08800587,0.11606946,-0.052729398,0.16617264,-0.19640812,0.20743728,-0.010057032,0.11709699,-0.29970184,0.4134645,-0.010803819,0.09492296
200.597624,29.12038,2M13222342+2907133,1462056968353220352,6.4248576,-38.680912,0.0337691,33.592216,0.0220886,2.7072313,0.046236474,163.21405029296900,19.387357871324100,41.910121147304200,0.169303717500472,2019.356211164080,0.19984007629407600,2.1740689221511200,0.01244143185490880,6227.9893,142.31212,4.1673985,0.15373693,553.708,-0.24285044,0.07256828,0.022349626,0.081078924,0.032853425,0.10504607,0.18470058,0.25360668,0.14488697,0.094507694,-0.009627029,0.09353243,0.053046823,0.1350434,0.1180651,0.094614565,0.076344445,1.7220231,-0.031355813,0.10551645,0.02910076,0.15521626,-0.008859023,0.122091465,-0.11160953,0.28539088,-0.09752639,0.14040424,-0.048575714,0.18200064,-0.16995846,0.23170854,-0.050574824,0.13349086,-0.25334907,0.40295237,-0.003354594,0.10109578
200.598191,29.576332,2M13222356+2934347,1462272163395000192,5.373657,-13.913966,0.0111335,-4.6861634,0.0114663,4.193398,0.029373841,300.2074279785160,54.73199292386590,8.777614093304670,0.03475862845128710,1911.3761149982800,0.25774406823594300,2.73331285510889,0.009997217223767760,4638.569,102.385826,4.4298,0.3581871,180.27986,-0.032669373,0.057722278,-0.00785359,0.0903892,-0.3739257,0.22478847,0.1130375,0.09931018,0.0071534775,0.08440469,0.060218588,0.078309804,0.02315557,0.110944025,-0.045614026,0.082527734,0.5347491,2.195214,-0.047783703,0.102501534,0.086738095,0.19178137,0.14067122,0.104599096,0.11499216,0.077129655,-0.18532592,0.25855237,-0.2170932,0.14827657,0.22826263,0.086618625,0.043934084,0.11424044,-0.0021134354,0.07232188,0.081006676,0.08610338
200.602685,33.260609,2M13222464+3315381,1469702834774101888,9.019161,-292.14056,0.0157515,-7.959238,0.0166162,-10.770339,0.04045346,166.68882751464800,27.72225892917660,237.66451574534800,1.1660393263920500,1219.7733364441000,1.7451473445559900,2.1503658826440600,0.015660026419476200,5064.165,101.73217,4.202191,0.23386918,221.68098,-0.47517967,0.06352958,0.1292246,0.0831767,0.19684213,0.079564065,-0.013116747,0.09847946,0.28872287,0.09091451,0.33260196,0.0804254,0.26533133,0.10098881,0.19421306,0.08490902,0.4357307,1.4334306,0.042360812,0.11945625,0.27016008,0.1073413,0.2204755,0.07833365,0.18880895,0.08818367,0.19155437,0.14702575,-0.015491247,0.16846871,0.044478655,0.16469671,-0.06601483,0.12351648,-0.123704255,0.35883844,0.11070958,0.09107819
200.606854,31.333805,2M13222564+3120016,1463301512437503872,4.3227577,-19.978529,0.0118727,-7.782057,0.0124459,-11.121337,0.03273936,319.96392822265600,55.768841212935900,0.9081413322847490,0.01730473561467060,1822.7475285570800,0.5345954578127090,2.101004812814700,0.011451093521665400,4646.9243,97.585396,4.453647,0.36592844,129.99751,0.06440622,0.05483183,-0.07619212,0.09450541,-0.35543007,0.19838051,0.039857797,0.09439912,0.02045475,0.081133135,0.037371874,0.07458879,-0.010581389,0.089756615,-0.058932837,0.080079675,0.43817425,2.2809563,-0.096337184,0.08264396,0.08637018,0.1682454,0.115431644,0.07972283,0.11344313,0.07538738,-0.21460032,0.16162625,-0.2127851,0.1451707,0.23572934,0.07161861,0.041631743,0.10800985,0.028235152,0.06754272,0.0800881,0.08395878
200.606854,31.333805,2M13222564+3120016,1463301512437503872,4.3227577,-19.978529,0.0118727,-7.782057,0.0124459,-11.161241,0.04123768,329.9571533203130,57.12087057583880,0.9052299952612570,0.017351272783599600,1822.6595694761300,0.5405392140764660,2.102309158324380,0.011576349465719300,4642.816,100.530304,4.465045,0.40484378,134.31891,0.063716955,0.0567954,-0.06396011,0.09414645,-0.3114667,0.19384345,0.055893876,0.09678782,-0.022653181,0.08099509,0.031255536,0.0776728,0.010543153,0.10974893,-0.051715806,0.085912585,0.48781842,2.3389056,-0.17996956,0.08809827,0.04417505,0.1750641,0.10138539,0.08132488,0.10895773,0.080583096,-0.09398548,0.21647353,-0.2202721,0.16663677,0.25248337,0.07609029,0.04322227,0.10574767,-0.0027225725,0.06971106,0.06294527,0.088672586
200.606854,31.333805,2M13222564+3120016,1463301512437503872,4.3227577,-19.978529,0.0118727,-7.782057,0.0124459,-11.120722,0.04192688,313.0918273925780,53.554447073339800,0.9085665024462660,0.017039941791321200,1822.7592005443400,0.5243751334138110,2.100733965806790,0.011156897745651500,4741.5757,112.00482,4.6233253,0.42724505,85.593216,0.052757986,0.05563986,-0.07532663,0.095725,-0.17839229,0.19255044,0.005940702,0.09870494,-0.014374729,0.08384918,0.007869437,0.079491004,-0.010643885,0.12119955,-0.057202842,0.086935185,0.53818995,3.3890867,-0.22997952,0.09988895,0.009638559,0.12471884,0.040737487,0.07839229,0.07067417,0.08115148,-0.20720303,0.2307686,-0.2077561,0.17943743,0.23664695,0.07798623,0.060303226,0.11170464,-0.32508814,0.5501152,0.081114195,0.0874655
200.615904,32.209904,2M13222781+3212356,1469395005878773376,nan,nan,nan,nan,nan,-17.46922,0.10638153,682.0870361328130,334.8409498341140,nan,nan,nan,nan,nan,nan,3549.131,364.69434,2.229339,3.2820725,28.37094,-2.7228596,2.3568275,0.5512428,2.8538747,-0.07748699,3.1013258,0.9826733,2.9468417,0.028645515,2.8723285,0.17060876,2.7330093,-0.2830577,2.6367252,-0.006149769,2.857019,0.5996647,2854.3396,0.24639678,2.4052293,0.06046772,2.5054727,0.3316574,2.397674,-0.3244691,2.4168139,-0.06587005,3.8334143,-0.75932264,4.509711,0.16694617,2.6247418,-0.3170452,2.5232546,-0.15495944,2.3958056,0.049919367,2.6977277
200.615904,32.209904,2M13222781+3212356,1469395005878773376,nan,nan,nan,nan,nan,-17.753828,0.13750383,668.9822387695310,343.46862360307600,nan,nan,nan,nan,nan,nan,3532.678,385.18713,2.289604,3.5656757,115.878845,-2.74652,2.4857633,0.5521004,3.0039291,-0.048746586,3.2347736,0.8942982,2.8943028,0.019499302,3.040708,0.16776681,2.8754778,-0.25252748,2.7631664,-0.009762526,2.9923732,0.607702,3601.4897,0.16633463,2.547596,0.097234964,2.672873,0.3380916,2.5313218,-0.31565356,2.5502748,-0.11972904,5.4925876,-0.6060016,3.571825,0.27025318,2.6881669,-0.37330174,2.7013764,-0.27783227,2.5402508,0.061042786,2.834543
200.615904,32.209904,2M13222781+3212356,1469395005878773376,nan,nan,nan,nan,nan,-18.87451,0.11080791,618.1009521484380,307.82038777096300,nan,nan,nan,nan,nan,nan,3532.8484,425.13712,2.3671668,3.924713,59.738472,-2.7263072,2.7064328,0.57182527,3.18228,0.035558224,3.2506661,0.7643057,2.93367,-0.0007004738,3.1284387,0.18080473,3.0515966,-0.22873521,2.9655452,-0.0193851,3.1980665,0.6462431,4112.849,0.16196156,2.7625654,0.05148697,2.8504488,0.3321476,2.7502306,-0.31517887,2.7647018,-0.11278033,5.6713643,-0.41692019,3.2671719,0.2848518,2.8836675,-0.389951,2.9189854,-0.71199536,4.588169,0.02533102,3.0884326
