Cluster,RA,DEC,Mass, rhm   ,rt,rho_c,sig0,vesc,c, d_Sun  
NGC_6809,294.99878,-30.96475,1.93E+05,6.95,51.52,2.39,4.9,17.3,0.93,5.35
Ter_8,295.43503,-33.99947,6.21E+04,21.53,101.42,0.30,1.6,5.4,0.60,27.54
Pal_11,296.31000,-8.00722,1.19E+04,7.72,31.87,0.84,1.2,3.9,0.57,14.02
Sagittarius_II ,298.16471,-22.06525,1.85E+04,39.31,151.12,-1.06,0.6,2.1,nan,66.53
NGC_6838,298.44373,18.77919,6.56E+04,6.57,43.17,2.51,2.8,11.1,1.15,4.00
NGC_6864,301.51978,-21.92116,3.7E+05,2.96,153.65,4.96,11.1,44.6,1.80,20.52
NGC_6934,308.54739,7.40447,1.36E+05,5.16,86.40,3.15,4.8,18.5,1.53,15.72
NGC_6981,313.36542,-12.53731,6.89E+04,5.96,49.82,2.30,3.1,11.4,1.21,16.66
NGC_7006,315.37263,16.18732,1.36E+05,6.99,156.71,2.79,4.1,15.9,1.41,39.32
Laevens_3,316.72938,14.98440,2.12E+03,9.46,37.93,0.38,0.4,1.7,nan,61.77
NGC_7078,322.49304,12.16700,6.33E+05,4.30,140.75,7.12,13.1,51.3,2.29,10.71
NGC_7089,323.36258,-0.82325,6.2E+05,4.77,111.48,4.31,11.0,43.4,1.59,11.69
NGC_7099,325.09213,-23.17986,1.43E+05,4.99,75.59,5.91,5.6,23.3,2.50,8.46
Pal_12,326.66180,-21.25261,6.27E+03,10.52,39.71,0.47,0.7,2.5,2.98,18.49
Pal_13,346.68519,12.77154,3.02E+03,16.95,38.56,0.59,0.4,1.7,0.66,23.48
NGC_7492,347.11117,-15.61147,2.66E+04,9.89,94.38,0.96,1.5,5.2,0.72,24.39
